Sukunimi;Nimenhaltijoita yhteensä
Vitri;49
Vlasov;49
Vähäkylä;49
Värnström;49
Yli-Anttila;49
Ylitarvas;49
Ylä-Jussila;49
Åhlberg;49
Äärinen;49
Öfverberg;49
Alatupa;48
Alhomäki;48
Ali-Kovero;48
Antinkaapo;48
Arasola;48
Arjoranta;48
Arrenius;48
Bertula;48
Björkgård;48
Boelius;48
Bolodin;48
Dickman;48
Dikert;48
Eiskonen;48
Eväsoja;48
Fetula;48
Franssi;48
Fransson;48
Gammals;48
Gylden;48
Hakkila;48
Hakolahti;48
Hampaala;48
Hanki;48
Hannukkala;48
Hansen-Haug;48
Harjajärvi;48
Haverila;48
Hayes;48
Heikfolk;48
Heikkerö;48
Helakorpi;48
Heljander;48
Helmiö;48
Hirsikorpi;48
Hottola;48
Hoviniemi;48
Huokuniemi;48
Högback;48
Isomöttönen;48
Isse;48
Joelsson;48
Jokioja;48
Jokisuu;48
Jousala;48
Jurkko;48
Jyrämö;48
Jäämaa;48
Kaihovaara;48
Kajo;48
Kansala;48
Karhe;48
Karma;48
Kartimo;48
Kilkku;48
Kirkkopelto;48
Klingenberg;48
Koivukorpi;48
Kolhinen;48
Kolistaja;48
Kolkkanen;48
Komppula;48
Konkka;48
Kopiloff;48
Koskenheimo;48
Kostin;48
Kukkamaa;48
Kulomäki;48
Kupsu;48
Kurkijärvi;48
Kutinlahti;48
Kuurola;48
Kylänen;48
Laakoli;48
Lahti-Nuuttila;48
Laihorinne;48
Laitamaa;48
Larimo;48
Lausmaa;48
Lehtiaho;48
Lehtorinne;48
Leijon;48
Lemettilä;48
Leo;48
Leppänoro;48
Lestinen;48
Liljefors;48
Lillandt;48
Lindeqvist;48
Liuhto;48
Lonkila;48
Loskin;48
Lundenius;48
Luomahaara;48
Lylyoja;48
Länsiö;48
Löyttynen;48
Makara;48
Malmivirta;48
Manula;48
Marjava;48
Markki;48
Meiseri;48
Mesiniemi;48
Mesiranta;48
Metsähonkala;48
Mihailov;48
Missonen;48
Molkkari;48
Muuraiskangas;48
Myllärniemi;48
Mäki-Ullakko;48
Naisniemi;48
Neovius;48
Niironen;48
Niiva;48
Nisu;48
Nokia;48
Noppari;48
Norpo;48
Nousu;48
Nurmikko;48
Ohramaa;48
Ojantausta;48
Olanterä;48
Orädd;48
Paasela;48
Patomäki;48
Pekala;48
Pesso;48
Peuha;48
Pieniluoma;48
Post;48
Puhtila;48
Pumpanen;48
Puodinketo;48
Purtsi;48
Päivänen;48
Pälvimäki;48
Raitavuo;48
Rajakoski;48
Ramadani;48
Reijola;48
Rimali;48
Rose;48
Ruokosuo;48
Ruuttula;48
Sali;48
Sarinko;48
Sellgren;48
Silpola;48
Simell;48
Simunaniemi;48
Spåra;48
Stor;48
Suvisalmi;48
Svenskberg;48
Svinhufvud;48
Södervik;48
Taitto;48
Takaniemi;48
Teräsvuori;48
Thorström;48
Tilaeus;48
Toivokoski;48
Tuohioja;48
Turtio;48
Tähtivaara;48
Urtti;48
Uusi-Pantti;48
Vaahtoranta;48
Vakoniemi;48
Walkeajärvi;48
Walls;48
Vannesluoma;48
Varamäki;48
Varmanen;48
Waselius;48
Vaske;48
Veijo;48
Vesasto;48
Vesikallio;48
Viljakka;48
Virko;48
Vuento;48
Våg;48
Vähäoja;48
Vähä-Piikkiö;48
Väliahdet;48
Väätti;48
Yli-Hemminki;48
Yli-Hietanen;48
Yli-Koski;48
Ylinentalo;48
Yltävä;48
Äystö;48
Abazi;47
Aherto;47
Ahmeti;47
Aittasalo;47
Aivio;47
Alakokkare;47
Alakunnas;47
Alalääkkölä;47
Alavaikko;47
Andstén;47
Annanpalo;47
Ant-Wuorinen;47
Apunen;47
Asula;47
Aulu;47
Bah;47
Bimberg;47
Bjurström;47
Bogdanov;47
Clemes;47
Ekosaari;47
Elmeranta;47
Eriksen;47
Fagerdahl;47
Fincke;47
Franzen;47
Frostdahl;47
Gullichsen;47
Gullman;47
Gyllenbögel;47
Hahkala;47
Hallio;47
Hannolainen;47
Harju-Jeanty;47
Hart;47
Haukkamaa;47
Haula;47
Helanne;47
Herrmann;47
Hietikko-Kaukola;47
Hiironniemi;47
Hillner;47
Hoivala;47
Holkkola;47
Honkapää;47
Honkaselkä;47
Hopeakoski;47
Huber;47
Huhanantti;47
Huilaja;47
Hurttia;47
Hägerström;47
Högmander;47
Iinattiniemi;47
Ilmakangas;47
Isorinne;47
Jalasjoki;47
Jolkin;47
Jukanen;47
Jumppainen;47
Kaartoaho;47
Kaijanniemi;47
Kallionkieli;47
Kalliopuska;47
Karhunmaa;47
Kariaho;47
Kervola;47
Keskisipilä;47
Kindstedt;47
Kivistö-Rahnasto;47
Knipström;47
Kohopää;47
Kolvanki;47
Kontuniemi;47
Korenius;47
Koskilahti;47
Koskue;47
Kotakorva;47
Krappe;47
Krogars;47
Kulomaa;47
Kulovuori;47
Kuonanoja;47
Kuusto;47
Kuutamo;47
Käldström;47
Köttö;47
Laamo;47
Lahdenpohja;47
Lammintausta;47
Landin;47
Leipivaara;47
Levonperä;47
Liljemark;47
Lille;47
Lindelä;47
Linnilä;47
Linnolahti;47
Loppinen;47
Lu;47
Lupunen;47
Länsisalmi;47
Maila;47
Marklund;47
Martiskin;47
Mellajärvi;47
Merranmaa;47
Mire;47
Moisiomäki;47
Mukkula;47
Mutru;47
Möykky;47
Naula;47
Neulanen;47
Nevanranta;47
Nikumaa;47
Norha;47
Norokorpi;47
Nostaja;47
Nummenranta;47
Nuoranne;47
Nuortimo;47
Nuottimäki;47
Näräkkä;47
Nätkin;47
Ollenberg;47
Ormiskangas;47
Ounasvuori;47
Pajunoja;47
Palkén;47
Palkonen;47
Peippola;47
Pero;47
Perola;47
Piesala;47
Piirtola;47
Piltti;47
Pirttiperä;47
Pohjoisvirta;47
Poikkijoki;47
Pyhäranta;47
Raekallio;47
Rantalahti;47
Rantila;47
Rautonen;47
Reimi;47
Riikilä;47
Roimela;47
Rotkus;47
Rytioja;47
Salmivalli;47
Salpakari;47
Sannikka;47
Savonmäki;47
Schreck;47
Selinummi;47
Siggberg;47
Skutnabb;47
Småros;47
Stenhäll;47
Sulavuori;47
Sulkko;47
Syrjänpää;47
Syvänperä;47
Syysmäki;47
Tahkokorpi;47
Tanhula;47
Tiaskorpi;47
Tiiva;47
Toikkonen;47
Tolin;47
Torp;47
Touray;47
Tulimaa;47
Tuomarmäki;47
Turner;47
Tuurna;47
Tång;47
Untamala;47
Uusi-Maahi;47
Vaajamo;47
Vaarna;47
Valin;47
Vaskonen;47
Veck;47
Wennerstrand;47
Verta;47
Vettainen;47
Widgren;47
Vikstrand;47
Viljander;47
Vira;47
Virranta;47
Virtakoski;47
Vuotari;47
Vähä-Ettala;47
Välläri;47
Vääräkoski;47
Ylikitti;47
Älli;47
Abdulla;46
Ahokanto;46
Aimola;46
Akbari;46
Ala-Seppälä;46
Alaste;46
Alvari;46
Amberg;46
Awad;46
Aydin;46
Boijer;46
Entonen;46
Eränummi;46
Granit;46
Grägg;46
Hangasvaara;46
Hanhilahti;46
Hapuoja;46
Harjumaaskola;46
Heidari;46
Heikinmatti;46
Heimberg;46
Heimovirta;46
Heinäjärvi;46
Hellsberg;46
Herckman;46
Hiekkamäki;46
Hirvioja;46
Honkalampi;46
Hyvätti;46
Hyysalo;46
Ibrahimi;46
Isoheiko;46
Isokuortti;46
Jacklin;46
Jacksen;46
Jakka;46
Jashari;46
Jaukka;46
Jussinoja;46
Juudin;46
Jytilä;46
Kaivolainen;46
Kalela;46
Kangaskokko;46
Kangaslampi;46
Kannel;46
Kansa;46
Kantinkoski;46
Karaus;46
Karhatsu;46
Karlman;46
Kaskimäki;46
Kasvinen;46
Kauhaniemi;46
Kaurola;46
Kellinsalmi;46
Keltti;46
Ketvell;46
Kivinummi;46
Kivirasi;46
Knape;46
Korkeamaa;46
Korvanen;46
Koski-Säntti;46
Koskitalo;46
Kuhna;46
Kuivasto;46
Kukkaro;46
Kuulasmaa;46
Känninen;46
Labbas;46
Lagerbohm;46
Laihi;46
Lairi;46
Latvakangas;46
Leikoski;46
Leukkunen;46
Levón;46
Luoma-Nirva;46
Luotomäki;46
Löfgrén;46
Löfs;46
Löllö;46
Löthman;46
Madekivi;46
Mastola;46
Mohamoud;46
Motturi;46
Muhammed;46
Myllyntaus;46
Mäki-Opas;46
Mäkipaakkanen;46
Mäki-Paavola;46
Noroaho;46
Nummenmaa;46
Nurme;46
Nypelö;46
Nyppeli;46
O'Connor;46
Ordén;46
Paasu;46
Paljärvi;46
Palmros;46
Palokankare;46
Pellfolk;46
Petranen;46
Pircklén;46
Pirkonen;46
Pistool;46
Punna;46
Purje;46
Raetsaari;46
Rahm;46
Rampanen;46
Rasalahti;46
Rautakumpu;46
Rautjoki;46
Rehakka;46
Rekiranta;46
Rinta-Pollari;46
Rommi;46
Rosenvall;46
Ruotsila;46
Ruuhela;46
Räfsbäck;46
Sahiluoto;46
Sahlin;46
Saini;46
Sarola;46
Savonlahti;46
Schumacher;46
Siikki;46
Silfvenius;46
Sinijärvi;46
Soljasalo;46
Stefanius;46
Suhola;46
Sumuvuori;46
Suoverinaho;46
Suovuori;46
Suurkuukka;46
Säilynkangas;46
Sørensen;46
Tammentie;46
Tarna;46
Tupitsa;46
Tähtivuori;46
Uggelberg;46
Ukonmäki;46
Uolamo;46
Utela;46
Uusinoka;46
Vaali;46
Wahlbäck;46
Valmari;46
Vanhakangas;46
Wardi;46
Varinen;46
Weckroth;46
Venehsalo;46
Venesjärvi;46
Verlin;46
Vierikka;46
Viitalähde;46
Vikla;46
Willstedt;46
Vire;46
Wunsch;46
Xu;46
Ylikulppi;46
Yltiö;46
Åby;46
Åsten;46
Äkräs;46
Ala-Ilomäki;45
Alainen;45
Ala-Opas;45
Alapeteri;45
Ali-Mattila;45
Anisimaa;45
Ankerman;45
Arell;45
Arslan;45
Asteljoki;45
Asuinmaa;45
Aukeala;45
Baumann;45
Björkstedt;45
Björlin;45
Bly;45
Bredbacka;45
Brigatti;45
Collins;45
Edfelt;45
Elkki;45
Erickson;45
Flod;45
Frankenhaeuser;45
Fredlund;45
Fågel;45
Gleisner;45
Gratschew;45
Gromov;45
Haavanlammi;45
Hagel;45
Hagren;45
Hakalin;45
Hallgren;45
Harjuhaahto;45
Harjuhahto;45
Heikinniemi;45
Heittokangas;45
Helanto;45
Helomaa;45
Helsingius;45
Henriksén;45
Hirvilampi;45
Hirvola;45
Hosia;45
Hugg;45
Huikku;45
Hujo;45
Humalainen;45
Häkkä;45
Hämylä;45
Ilosalo;45
Indrén;45
Iso-Junno;45
Iso-Kouvola;45
Jalander;45
Jasu;45
Jattu;45
Jesiöjärvi;45
Johnston;45
Jäger;45
Järvirova;45
Kaarakka;45
Kankaanniemi;45
Karen;45
Kariola;45
Kepponen;45
Keski-Korhonen;45
Keski-Rahkonen;45
Kiianen;45
Kivero;45
Klavér;45
Klen;45
Kontinaho;45
Kontti;45
Kortekallio;45
Kotsalainen;45
Kottelin;45
Krats;45
Kristersson;45
Kristiansen;45
Krusberg;45
Kuivainen;45
Kulkki;45
Kullanmäki;45
Kuoppakangas;45
Kuznetsov;45
Kyöttinen;45
Lae;45
Laherto;45
Lahma;45
Laihosola;45
Laipio;45
Latva-Hoppala;45
Lauha;45
Lautamies;45
Lautamo;45
Lidsle;45
Liinakoski;45
Loiva;45
Lundán;45
Lågas;45
Mahmoud;45
Mannerheimo;45
Marins;45
Metsänkylä;45
Moll;45
Multasuo;45
Mustala;45
Myllyrinne;45
Mäki-Kojola;45
Mörsäri;45
Naaranoja;45
Noukka;45
Nurmilaakso;45
Nykky;45
Oinasmaa;45
Olson;45
Ostonen;45
Padinki;45
Palanne;45
Palmujoki;45
Panelius;45
Pannimaa;45
Parkkunen;45
Peranto;45
Peters;45
Pethman;45
Petäinen;45
Peuna;45
Ponsiluoma;45
Popova;45
Porthen;45
Porthén;45
Porttikivi;45
Pouhakka;45
Purontakanen;45
Päivelin;45
Päivölä;45
Pärkö;45
Päykkönen;45
Pörn;45
Pörtfors;45
Rajamaa;45
Reina;45
Retva;45
Rex;45
Riikkula;45
Roihu;45
Ruottunen;45
Rönkönharju;45
Salman;45
Salmenperä;45
Salmiranta;45
Santalo;45
Savikoski;45
Savisaari;45
Siikilä;45
Simon;45
Sinivirta;45
Sorja;45
Sorvaniemi;45
Stenstrand;45
Stylman;45
Suoyrjö;45
Suurkaulio;45
Suutarla;45
Sydänlammi;45
Sörensen;45
Tahkokallio;45
Tahlo;45
Tamski;45
Tapanimäki;45
Tapionlinna;45
Tarvus;45
Tervaskanto;45
Tirranen;45
Tuomi-Nikula;45
Turtonen;45
Uusivuori;45
Waara;45
Vaarakallio;45
Vahanto;45
Vaihinen;45
Weide;45
Vestala;45
Vigelius;45
Vihermäki;45
Wilkinson;45
Vähä-Heikkilä;45
Vähäkari;45
Vähäpesola;45
Yksjärvi;45
Yli;45
Yli-Hallila;45
Yli-Hannuksela;45
Yli-Huhtala;45
Yrjö-Koskinen;45
Öystilä;45
Abbas;44
Abdalla;44
Ahonkivi;44
Aimasmäki;44
Ainetdin;44
Akkola;44
Alaverronen;44
Ali-Hokka;44
Alkku;44
Alsio;44
Andreasen;44
Annanolli;44
Antinmaa;44
Arfman;44
Arolaakso;44
Asikanius;44
Aslan;44
Barkar;44
Bro;44
Broända;44
Bär;44
Çelik;44
Corander;44
Corell;44
Drockila;44
Eisto;44
Eliander;44
Eloniemi;44
Erlands;44
Fahlström;44
Frangén;44
Girs;44
Grann;44
Haggren;44
Hajdini;44
Hakkala;44
Halmekangas;44
Hankkio;44
Hasselblatt;44
Hatt;44
Heroja;44
Hetemaa;44
Hindrén;44
Holla;44
Holmblad;44
Honga;44
Hulsi;44
Hyövälti;44
Häkänen;44
Iiliäinen;44
Ilva;44
James;44
Jernvall;44
Juomoja;44
Jyränoja;44
Järvikangas;44
Järviluoto;44
Kalanti;44
Kalatie;44
Karisaari;44
Kauraniemi;44
Keikkonen;44
Kelokaski;44
Kepsu;44
Ketko;44
Kiemunki;44
Kilpikoski;44
Kindt;44
Kirstua;44
Kivirinne;44
Klang;44
Komaro;44
Kopo;44
Koppi;44
Korkiavuori;44
Korkola;44
Kotaviita;44
Kotirinta;44
Koverola;44
Krans;44
Kuolimo;44
Kuumola;44
Kuusento;44
Kuusijoensuu;44
Kuusikorpi;44
Kuussalo;44
Laakeristo;44
Lahdenvesi;44
Lahola;44
Lahtovaara;44
Lakio;44
Laksola;44
Lammentausta;44
Landgärds;44
Lannetta;44
Larva;44
Lehtilahti;44
Lempola;44
Lillhannus;44
Lith;44
Liuko;44
Liuttu;44
Loimusalo;44
Lolax;44
Lotti;44
Lounasvaara;44
Lumpo;44
Långkvist;44
Maisila;44
Maris;44
Markovaara;44
Matinniemi;44
Mehtola;44
Mentunen;44
Metsoila;44
Metsovuori;44
Minni;44
Mitjonen;44
Moalin;44
Moksén;44
Molkoselkä;44
Montell;44
Myllysilta;44
Mårtens;44
Mäki-Jokela;44
Nakkila;44
Nelin;44
Niinisaari;44
Nordlin;44
Norrlin;44
Nymalm;44
Nåhls;44
Ohisalo;44
Ojamies;44
Osmo;44
Paasikangas;44
Paavonkallio;44
Pahikka-aho;44
Paloluoma;44
Paulaniemi;44
Pekonniemi;44
Pelin;44
Peltolehto;44
Pensola;44
Periviita;44
Piho;44
Pohjosmäki;44
Potka;44
Prokki;44
Puuri;44
Pyhähuhta;44
Rangell;44
Rehnman;44
Reittonen;44
Reivo;44
Rexhepi;44
Rietz;44
Ristikankare;44
Ritanotko;44
Ritokangas;44
Riuttaskorpi;44
Roiko-Jokela;44
Rosas;44
Routakangas;44
Runnakko;44
Russell;44
Ruuhilehto;44
Saarikalle;44
Sahila;44
Sahlstén;44
Sahrman;44
Sailas;44
Saksio;44
Salah;44
Salander;44
Saleh;44
Salila;44
Sallanko;44
Santti;44
Schuvalow;44
Serguskin;44
Shaw;44
Sieviläinen;44
Silfverhuth;44
Silokivi;44
Simonson;44
Siu;44
Sjöbacka;44
Skottman;44
Stadius;44
Stauffer;44
Storberg;44
Sääksniemi;44
Taam;44
Takolander;44
Talvala;44
Tarakkamäki;44
Tavio;44
Teerikoski;44
Teräsvirta;44
Teva;44
Tiussa;44
Tojkander;44
Toorikka;44
Tunttunen;44
Tuulari;44
Törnroth;44
Urpunen;44
Urrila;44
Uusiportimo;44
Waenerberg;44
Vainiokangas;44
Walander;44
Valkki;44
Valtakoski;44
Varpiola;44
Wartiovaara;44
Wasberg;44
Vaskela;44
Weissman;44
Wenman;44
Venninen;44
Vertala;44
Wikblom;44
von Konow;44
Vähä-Savo;44
Väntönen;44
Wärnå;44
Wäänänen;44
Yli-Antola;44
Yliperttula;44
Yli-Sikkilä;44
Åkerlind;44
Ålgars;44
Äyhynmäki;44
Östermark;44
Ahlmark;43
Ahorinta;43
Alakulppi;43
Ala-Nisula;43
Ala-Äijälä;43
Ali-Raatikainen;43
Almén;43
Alvarez;43
Anckar;43
Angeli;43
Asmala;43
Asumalahti;43
Benson;43
Bergbom;43
Bergvall;43
Blåberg;43
Borodulin;43
Boxberg;43
Brunni;43
Dimitrow;43
Doktar;43
Ehrs;43
Emas;43
Ervelius;43
Etu-Seppälä;43
Fedorova;43
Forsback;43
Fraser;43
Frondén;43
Fuchs;43
Godenhjelm;43
Gupta;43
Hallvar;43
Handolin;43
Hansten;43
Harjukoski;43
Harmaa;43
Hausen;43
Hedin;43
Heikkanen;43
Helevä;43
Hemtman;43
Hepokorpi;43
Hernandez;43
Hirvaskari;43
Holstikko;43
Honkaperä;43
Honkiniemi;43
Honkuri;43
Huhta-Koivisto;43
Huurne;43
Häsänen;43
Ihainen;43
Indola;43
Iso-Kuusela;43
Istolahti;43
Jaskara;43
Jenkins;43
Jokijärvi;43
Jokipelto;43
Jungerstam;43
Juppala;43
Jylhänlehto;43
Kaarivaara;43
Kaiku;43
Kajosaari;43
Kaltiokumpu;43
Kapraali;43
Karhiaho;43
Karmitsa;43
Karumo;43
Kauste;43
Kavenius;43
Keko;43
Ketokoski;43
Kiikkala;43
Kiimamaa;43
Kirkanen;43
Kirvelä;43
Kivivirta;43
Kneckt;43
Knookala;43
Kolkkinen;43
Koort;43
Koslonen;43
Kotilehto;43
Kova;43
Kovasin;43
Kuljunlahti;43
Kullaa;43
Kumin;43
Kuorttinen;43
Kurimo;43
Kurru;43
Kyläniemi;43
Kärkkänen;43
Laak;43
Laakio;43
Laaksomaa;43
Laivonen;43
Landvik;43
Lapp;43
Lauhaluoma;43
Law;43
Lawrence;43
Lehmusmetsä;43
Leppäkynnäs;43
Levula;43
Lietonen;43
Liipo;43
Likitalo;43
Lill;43
Lillkåll;43
Lindros;43
Lintusaari;43
Lomakka;43
Luhtamäki;43
Lundan;43
Lutz;43
Lylykangas;43
Länsmans;43
Maanavilja;43
Maanonen;43
Matara;43
Merenlahti;43
Mesilaakso;43
Metsikkö;43
Metsälampi;43
Metsänheimo;43
Morina;43
Muhumed;43
Multasniemi;43
Mäennenä;43
Mäki-Asiala;43
Mäki-Latvala;43
Mäki-Lohiluoma;43
Mäki-Tulokas;43
Mönkölä;43
Niinijärvi;43
Nitovuori;43
Norvapalo;43
Ohlström;43
Ohtola;43
Olsén;43
Pahl;43
Pakari;43
Papinoja;43
Patoranta;43
Pelkkala;43
Pelto-Huikko;43
Pitkälahti;43
Plathan;43
Podduikin;43
Pohjosaho;43
Porra;43
Purolinna;43
Putkiranta;43
Puuskari;43
Raaterova;43
Rahkamaa;43
Rajainmäki;43
Rannasmaa;43
Rassa;43
Rautakallio;43
Riiski;43
Rinta-Halkola;43
Rinta-Kiikka;43
Rintakumpu;43
Ristanen;43
Rosala;43
Rouhe;43
Ruisaho;43
Rusama;43
Ruupunen;43
Ruusumo;43
Rytsölä;43
Saeed;43
Salonaho;43
Salvi;43
Samula;43
Santasaari;43
Sarenius;43
Sauhke;43
Saxell;43
Siistonen;43
Siljama;43
Soikka;43
Sotti;43
Storlöpare;43
Storrank;43
Sukeva;43
Suopuro;43
Sykiäinen;43
Sågbom;43
Säikkälä;43
Säynäväjärvi;43
Taijala;43
Tallroth;43
Thiel;43
Thurman;43
Tiikkala;43
Tillaeus;43
Topra;43
Uittamo;43
Upla;43
Uusoksa;43
Vaheristo;43
Vahosalmi;43
Valajärvi;43
Wallden;43
Vatilo;43
Vehkanen;43
Westerinen;43
Vianto;43
Vihanti;43
Wiiala;43
Vilmusenaho;43
Vitikkala;43
Voitto;43
Wolf;43
von Becker;43
Wuoti;43
Värränkivi;43
Yavuz;43
Yli-Karhu;43
Yli-Renko;43
Åhlström;43
Åkerback;43
Åkers;43
Ärlig;43
Aejmelaeus;42
af Ursin;42
Ala-Hannula;42
Alahautala;42
Ala-Korpela;42
Alanenpää;42
Alanissi;42
Alapelto;42
Alapere;42
Alasimi;42
Alasirniö;42
Ali-Keskikylä;42
Al-Mosawi;42
Apilo;42
Arnell;42
Auhtola;42
Aurén;42
Austin;42
Bernitz;42
Buchert;42
Burmeister;42
Carter;42
Costiander;42
Degerstedt;42
Dirie;42
Ebeling;42
Eklin;42
Enbacka;42
Enkovaara;42
Erho;42
Erkamo;42
Evers;42
Flood;42
Fräki;42
Gref;42
Grundsten;42
Gunn;42
Güzel;42
Haapkylä;42
Hakakoski;42
Haljoki;42
Halmelahti;42
Hanhisuo;42
Harberg;42
Harilainen;42
Harkki;42
Haukirauma;42
Heinaro;42
Heliövaara;42
Hellen;42
Hemmo;42
Hendriksson;42
Hepolehto;42
Hertzberg;42
Hiekko;42
Hikipää;42
Hilke;42
Hirvo;42
Honkaheimo;42
Honkkila;42
Hopkins;42
Huang;42
Huokuna;42
Huuhtiainen;42
Hyrske;42
Hällbacka;42
Ingervo;42
Jakupovic;42
Jansa;42
Jekunen;42
Joki-Korpela;42
Jukonen;42
Jusi;42
Järviaho;42
Kalteva;42
Kamaja;42
Kants;42
Karlson;42
Kaskimies;42
Kauhajärvi;42
Kaunisaho;42
Komula;42
Kontiokoski;42
Kordelin;42
Korkeavuori;42
Kortteisto;42
Kosklin;42
Kostama;42
Kotiluoto;42
Kotkaranta;42
Kramsu;42
Kronkvist;42
Kuhlefelt;42
Kuopusjärvi;42
Kynäkoski;42
Kämärä;42
Kärävä;42
Kössö;42
Laasio;42
Laavola;42
Laurent;42
Laurinaho;42
Lehtokumpu;42
Lepokorpi;42
Liila;42
Linke;42
Lohjala;42
Londen;42
Luntamo;42
Luojukoski;42
Luther;42
Luu;42
Lylykorpi;42
Löfroth;42
Maanoja;42
Maunumaa;42
Metsäpuro;42
Mills;42
Minkkilä;42
Mokki;42
Molari;42
Mäki-Kuutti;42
Mäkivuoti;42
Mäyränpää;42
Narkaus;42
Narsakka;42
Nickull;42
Niikko;42
Niiniharju;42
Niinikangas;42
Nikama;42
Nivus;42
Noori;42
Nurminiemi;42
Nurmoranta;42
Nuuja;42
Nuur;42
Nyländen;42
Okkeri;42
Olkku;42
Ordning;42
Ottela;42
Parma;42
Parvi;42
Pelto-Arvo;42
Petrow;42
Piekiäinen;42
Pikkumaa;42
Pitkämö;42
Pohjakallio;42
Poittinen;42
Polsa;42
Porttinen;42
Primetta;42
Puhalainen;42
Pänttönen;42
Pässilä;42
Ratala;42
Rautamaa;42
Rautapää;42
Rautee;42
Reilin;42
Ribacka;42
Roito;42
Routa;42
Ruostetoja;42
Ryth;42
Ryöti;42
Räike;42
Saaranluoma;42
Sadik;42
Salonvaara;42
Sane;42
Saralehto;42
Sarjala;42
Sarling;42
Satopää;42
Sauvolainen;42
Savuoja;42
Sianoja;42
Sid;42
Siegfrids;42
Siikaranta;42
Silfsten;42
Siljanto;42
Siltari;42
Simo;42
Simpson;42
Simsiö;42
Sippus;42
Sipura;42
Sirjonen;42
Soikkonen;42
Sorva;42
Soukainen;42
Strandholm;42
Styrström;42
Sukula;42
Suova;42
Suviola;42
Sällylä;42
Södergran;42
Tammivaara;42
Tappola;42
Teirfolk;42
Teurokoski;42
Thessler;42
Thomasfolk;42
Thun;42
Tillikainen;42
Torkell;42
Torppala;42
Tulisalmi;42
Tuohinen;42
Tyvi;42
Tähjä;42
Törni;42
Ulfstedt;42
Uusi-Rantala;42
Vaajasaari;42
Vainio-Mattila;42
Vajavaara;42
Valmu;42
Vanhakartano;42
Vanharanta;42
Vara;42
Varin;42
Varsamäki;42
Veromaa;42
Vidberg;42
Vihtalahti;42
Viidanoja;42
Vilmilä;42
Vintturi;42
Voudinmäki;42
Vuonokari;42
Vääriskoski;42
Yliharju;42
Yli-Kyyny;42
Ylimaula;42
Ylipelto;42
Yu;42
Åkerström;42
Åminne;42
Ääritalo;42
Öfverström;42
Aamuvuori;41
Ahvenvaara;41
Alaharju;41
Alahuhtala;41
Alaja;41
Alamaa;41
Alamettälä;41
Ala-Pöntiö;41
Asunen;41
Aulamo;41
Björke;41
Blå;41
Bondestam;41
Claesson;41
Cygnel;41
David;41
Drufva;41
Eevala;41
Eid;41
Eilittä;41
Eilo;41
Elovainio;41
En;41
Enestam;41
Fahler;41
Falkstedt;41
Finsk;41
Finström;41
Forsstén;41
Fransila;41
Frants;41
Fälden;41
Granbäck;41
Gullberg;41
Gärding;41
Haasto;41
Haavistola;41
Haimakka;41
Halmi;41
Hamm;41
Hampf;41
Hampori;41
Hannelin;41
Hartmann;41
Heikius;41
Helppikangas;41
Hemanus;41
Hevonkorpi;41
Hintikainen;41
Hohkala;41
Hollming;41
Honkoliini;41
Hoppendorff;41
Hosiaisluoma;41
Hukki;41
Hyytiälä;41
Höckerstedt;41
Iirola;41
Ingerström;41
Iskulehto;41
Iso-Heiko;41
Iso-Järvenpää;41
Iso-Mustajärvi;41
Istukaissaari;41
Jalasto;41
Jamalainen;41
Jaskanen;41
Jokirinta;41
Jortama;41
Junka;41
Kaatranen;41
Kakkori;41
Kalkela;41
Karvali;41
Kasanko;41
Kaskenviita;41
Kaurtola;41
Keski-Heikkilä;41
Kianto;41
Kiira;41
Kivisoja;41
Knutars;41
Kokemäki;41
Kokora;41
Kopakka;41
Korjansalo;41
Koskialho;41
Koski-Tuuri;41
Kostekivi;41
Kotoaro;41
Krapi;41
Kruth;41
Kuivasaari;41
Kupsanen;41
Kuusela-Opas;41
Kuustonen;41
Kyander;41
Kyhälä;41
Kylämäki;41
Kyrönniemi;41
Käldman;41
Kärkäinen;41
Laimi;41
Land;41
Larjava;41
Latvio;41
Laurinmäki;41
Leeve;41
Leirimaa;41
Lemiläinen;41
Leppäjoki;41
Lillkvist;41
Linho;41
Lumiainen;41
Lydén;41
Läylönen;41
Mannerkorpi;41
Mannisenmäki;41
Marjatsalo;41
Mauro;41
Meijer;41
Merivaara;41
Metsämaa;41
Mosorin;41
Murray;41
Mäki-Jussila;41
Mäki-Korpela;41
Nevasalmi;41
Niikkonen;41
Nikulin;41
Norolahti;41
Norrholm;41
Nuorti;41
Nurmo;41
Ohralahti;41
Okkolin;41
Orivuori;41
Osenius;41
Otronen;41
Ouvinen;41
Paajaste;41
Paappa;41
Pahankala;41
Paulanto;41
Peljo;41
Pentinlehto;41
Perez;41
Perheentupa;41
Perukangas;41
Pietari;41
Pitkäniitty;41
Pohjaniemi;41
Porokuokka;41
Puhilas;41
Pulkamo;41
Puntalo;41
Putkisaari;41
Pyökkilehto;41
Rapi;41
Raumala;41
Rautakoura;41
Reenkola;41
Reimari;41
Reiniö;41
Riionheimo;41
Rinta-Harri;41
Rinta-Möykky;41
Ritokoski;41
Ruonela;41
Salokanto;41
Salosaari;41
Saltiola;41
Samsten;41
Sandkulla;41
Seitaniemi;41
Selén;41
Sierla;41
Sihlman;41
Siltaoja;41
Silvanto;41
Simos;41
Siurola;41
Sjökvist;41
Soliman;41
Sonkkila;41
Sood;41
Soranummi;41
Sortti;41
Suuntala;41
